year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy,damages_bau,net.output_bau,consumption.per.capita_bau,damages_0.1reduction,abatement.cost_0.1reduction,net.output_0.1reduction,consumption.per.capita_0.1reduction,percent.change.consumption.per.capita_0.1reduction,damages_0.2reduction,abatement.cost_0.2reduction,net.output_0.2reduction,consumption.per.capita_0.2reduction,percent.change.consumption.per.capita_0.2reduction,damages_0.3reduction,abatement.cost_0.3reduction,net.output_0.3reduction,consumption.per.capita_0.3reduction,percent.change.consumption.per.capita_0.3reduction,damages_0.4reduction,abatement.cost_0.4reduction,net.output_0.4reduction,consumption.per.capita_0.4reduction,percent.change.consumption.per.capita_0.4reduction,temp.increase_0.1reduction,temp.increase_0.2reduction,temp.increase_0.3reduction,temp.increase_0.4reduction,temp.increase_bau,capital.stock_bau,population,population.millions,gross.output_bau,kaya.emissions_bau,total.emissions_bau,temp.increase_additional.ton.carbon,capital.stock_additional.ton.carbon,gross.output_additional.ton.carbon,kaya.emissions_additional.ton.carbon,total.emissions_additional.ton.carbon,damages_additional.ton.carbon,land.use.emissions_additional.ton.carbon,net.output_additional.ton.carbon,damages_bau_dollars,damages_additional.ton.carbon_dollars,marginal.damages_additional.ton.carbon_dollars,marginal.damages_additional.ton.CO2_dollars,discount.factor_0.03discount.rate,discount.factor_0.025discount.rate,discount.factor_0.05discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.03discount.rate,net.present.value_marginal.damages_additional.ton.CO2_0.03discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.025discount.rate,net.present.value_marginal.damages_additional.ton.CO2_0.025discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.05discount.rate,net.present.value_marginal.damages_additional.ton.CO2_0.05discount.rate
2020,0.0310557666961162,0,0,0,143.499858762137,72.8428402636959,72.8428402636959,0,143.487861424835,72.8410131977198,72.8410131977198,0.00294285606437309,72.8428402636958,7293.49309550225,0.00287844257058326,7.06951549398599e-05,72.62801669544,7293.37491812542,-1.62031245227357e-05,0.00284323392346923,0.000492349655641614,72.5998668818565,7290.54808691508,-0.000403785751025634,0.00282003554275402,0.00153224835530322,72.5258075429275,7283.11097724894,-0.00142347680560771,0.00280427633081964,0.00342892216045968,72.3887963816637,7269.35218535938,-0.00330992431565545,0.979530937163847,0.973521772307333,0.969542081389289,0.966829238769639,0.990430220387937,143.499858762137,7767303019.3001,7767.3030193001,72.8428402636958,7393.89466251252,8633.89466251252,0.990430220388553,143.499858762137,72.8428402636958,7393.89466251252,8633.89466251252,0.00294285606437676,1240,72.8428402636958,214365994216.177,214365994216.444,0.267059326171875,0.0728343616832386,0.744093914896725,0.781198401725727,0.613913253540759,0.198717219520912,0.0541956053238851,0.208626318771418,0.0568980869376596,0.163951259818579,0.0447139799505214
2021,0.031366772031312,0,0,0,145.175297743936,74.3835596196385,74.3835596196385,0,145.16409818585,74.3818380757452,74.3818380757452,0.0030569542285797,74.3835596196384,7367.73748436921,0.00297464589654074,6.97262420590492e-05,74.1571083831626,7367.73651339602,-1.31787157997864e-07,0.00293167098488834,0.000485601754408217,74.1293707090985,7364.98069027327,-0.000374171053432395,0.00290435123220971,0.00151124811604613,74.0551116222611,7357.60282188719,-0.00137554608908388,0.00288626948338466,0.00338192704670128,73.9173088493352,7343.91169309496,-0.00323380024394089,0.995765349959641,0.988546236465168,0.983929406717391,0.980861778129257,1.00944774152004,145.175297743936,7850788968.04975,7850.78896804975,74.3835596196384,7464.95503686879,8699.95503686879,1.0094477415207,145.175297743936,74.3835596196384,7464.95503686879,8699.95503686879,0.00305695422858372,1235,74.3835596196384,227387137116.064,227387137116.363,0.299072265625,0.0815651633522727,0.722421276598762,0.762144782171441,0.584679289086437,0.216056167928097,0.0589244094349354,0.227936366738285,0.0621644636558959,0.174861359651095,0.0476894617230259
2022,0.0316928704507526,0,0,0,147.022151085863,76.0313098057329,76.0313098057329,0,147.011692743929,76.0296872313906,76.0296872313906,0.00317318959314742,76.0313098057329,7446.91735874868,0.00307019526741822,6.87574760358924e-05,75.7926511172298,7447.05335260367,1.82617650280205e-05,0.00301879202713354,0.000478854875950927,75.7653791304534,7444.373726841,-0.00034156843498443,0.00298720471248985,0.00149025105978509,75.6908829787696,7437.05406183423,-0.00132448051177406,0.00296678502858499,0.0033349390559694,75.5521814695499,7423.425860102,-0.00315452656649697,1.01163156458898,1.00312711509784,0.997865173339206,0.994448763316473,1.02845994787472,147.022151085863,7938477820.99883,7938.47782099883,76.0313098057329,7542.59706137183,8772.59706137183,1.02845994787543,147.022151085863,76.0313098057329,7542.59706137183,8772.59706137183,0.00317318959315179,1230,76.0313098057329,241261761028.919,241261761029.252,0.33251953125,0.0906871448863636,0.701379880192973,0.743555885045309,0.556837418177559,0.233222508989949,0.0636061388154405,0.247246854353445,0.0674309602782122,0.185159317274862,0.050497995620417
2023,0.0320347276365804,0,0,0,149.046824134538,77.7925189419993,77.7925189419993,0,149.037054660442,77.7909892023912,77.7909892023912,0.00329155929313663,77.7925189419992,7531.23849802356,0.00316495069846169,6.77885617713725e-05,77.5410360118631,7531.53281738722,3.90798092161144e-05,0.00310450945743078,0.000472106965080819,77.5142849412028,7528.93449555738,-0.000305926105883166,0.00306854373660362,0.00146925079053745,77.4395124752918,7521.67187295379,-0.00127025921065731,0.00304578320127978,0.00328794387509705,77.2998023584368,7508.10187977169,-0.00307208678332877,1.02712392930644,1.01726913145453,1.01135943768831,1.00760164107313,1.04746667299993,149.046824134538,8030504487.69539,8030.50448769539,77.7925189419992,7627.01466345523,8852.01466345523,1.04746667300068,149.046824134538,77.7925189419992,7627.01466345523,8852.01466345523,0.00329155929314135,1225,77.7925189419992,256058688660.045,256058688660.412,0.3675537109375,0.100241921164773,0.680951339993177,0.72542037565396,0.530321350645295,0.250286191982356,0.0682598705406424,0.266630951061288,0.072717532107624,0.194921580419065,0.0531604310233814
2024,0.0323930478183561,0,0,0,151.256495888324,79.6741895210295,79.6741895210295,0,151.247366818924,79.6727468724348,79.6727468724348,0.00341206372336719,79.6741895210296,7620.9226182636,0.003258783079128,6.68192396682423e-05,79.4092248516102,7621.39826762437,6.2413619006191e-05,0.00318874823570021,0.000465356213857656,79.3830517105858,7618.88626814277,-0.00026720519585745,0.0031483240616979,0.00144824168178673,79.3079618708372,7611.67942818626,-0.00121287021799451,0.00312322935535749,0.00324092891285707,79.167130369026,7598.16295115306,-0.0029864713566303,1.04223846905399,1.03097821439967,1.02442244894345,1.02033154013087,1.06646827165919,151.256495888324,8127012027.09391,8127.01202709391,79.6741895210296,7718.42374079351,8938.42374079351,1.06646827165998,151.256495888324,79.6741895210296,7718.42374079351,8938.42374079351,0.00341206372337226,1220,79.6741895210296,271853411753.387,271853411753.792,0.40435791015625,0.110279430042614,0.661117805818619,0.707727195759961,0.505067952995519,0.267328214327902,0.0729076948167006,0.286175089838241,0.0780477517740657,0.204228221960163,0.0556986059891354
2025,0.03276857845782,0,0,0,153.659167994118,81.6839557153619,81.6839557153619,0,153.650634448967,81.6825947800867,81.6825947800867,0.00353470663691117,81.6839557153618,7716.20894576368,0.00335157369957634,6.58492858576285e-05,81.4048070875591,7716.89062635955,8.8343978326104e-05,0.00327144425829085,0.000458601063168048,81.3792708585076,7714.46988127519,-0.000225378097031371,0.0032265082006706,0.00142721888139401,81.3038208784792,7707.3174873998,-0.00115230917492992,0.00319909341030731,0.00319388331095316,81.1617520879731,7693.84986359504,-0.00289767712691528,1.05697267381523,1.04426118353134,1.0370644789775,1.03264924834255,1.08546558933808,153.659167994118,8228152063.13871,8228.15206313871,81.6839557153618,7817.06385946647,9032.06385946647,1.08546558933891,153.659167994118,81.6839557153618,7817.06385946647,9032.06385946647,0.00353470663691659,1215,81.6839557153618,288728820396.247,288728820396.69,0.443115234375,0.120849609375,0.641861947396717,0.690465556838986,0.48101709809097,0.28441880725709,0.0775687656155701,0.305955807046572,0.0834424928308833,0.213146004158963,0.0581307284069898
2026,0.0331621134747346,0,0,0,156.263721452086,83.8301428401947,83.8301428401947,0,156.255741855689,83.8288585830642,83.8288585830642,0.00365948962337198,83.8301428401948,7817.35552106533,0.00344321377402915,6.47835066520366e-05,83.5360669270722,7818.27044127508,0.000117037047539536,0.00335254297993719,0.000451178545665829,83.5112763213791,7815.95024992731,-0.000179762981770446,0.00330306446299207,0.00140411915926632,83.4355389647658,7808.86187291493,-0.00108651168896143,0.00327334942552485,0.00314218989661211,83.2923272624231,7795.45846693164,-0.00280108203786876,1.07132531225412,1.05712550184249,1.04929571030479,1.04456520867534,1.10445908681912,156.263721452086,8334085229.27606,8334.08522927606,83.8301428401948,7911.59728161155,9121.59728161155,1.10445908681999,156.263721452086,83.8301428401948,7911.59728161155,9121.59728161155,0.00365948962337775,1210,83.8301428401948,306775537849.484,306775537849.968,0.48370361328125,0.131919167258523,0.623166939220114,0.67362493350145,0.4581115219914,0.301428100178186,0.0822076636849599,0.325834814330993,0.088864040272089,0.221590198473013,0.0604336904926399
2027,0.0335744975928923,0,0,0,159.07998073172,86.1218357392343,86.1218357392343,0,159.072516558394,86.1206234455256,86.1206234455256,0.00378641203752188,86.1218357392344,7924.64083213126,0.0035336039630198,6.36251518568993e-05,85.8120357642865,7925.81804382303,0.000148550794502726,0.00343199823479302,0.000443111294310601,85.7881041928973,7923.60766297558,-0.000130374256394324,0.00337796620398934,0.00137901295175866,85.712155961768,7916.59289103456,-0.00101555909815722,0.00334597525295672,0.00308600629491975,85.5679016808903,7903.2691984768,-0.00269685833177603,1.08529626723456,1.06957908150715,1.06112616340523,1.05608952476526,1.12344886213865,159.07998073172,8444981644.29953,8444.98164429953,86.1218357392344,8001.70617024191,9206.70617024191,1.12344886213956,159.07998073172,86.1218357392344,8001.70617024191,9206.70617024191,0.003786412037528,1205,86.1218357392344,326092755536.519,326092755537.046,0.526611328125,0.143621271306818,0.605016445844771,0.657195057074585,0.436296687610857,0.318608514083782,0.0868932311137587,0.346086361843233,0.0943871895936089,0.229758778119292,0.062661484941625
2028,0.0340066292751762,0,0,0,162.11878652118,88.5689505770707,88.5689505770707,0,162.111802060571,88.5678058318727,88.5678058318727,0.00391547088281627,88.5689505770708,8038.36519465983,0.00362265389710597,6.23780331800695e-05,88.2425711661623,8039.83568260352,0.000182933707051643,0.00350977122476233,0.00043442585537771,88.2196171808135,8037.74433068544,-7.72375923896791e-05,0.00345119122588332,0.00135198287391151,88.1435384876129,8030.81275350907,-0.000939549394419325,0.00341695224004852,0.00302551738487573,87.9983478032665,8017.58433972461,-0.0025852091105565,1.09888639041319,1.08163013160111,1.07256565080858,1.06723197104293,1.14243466375052,162.11878652118,8561021422.18381,8561.02142218381,88.5689505770708,8087.08356510414,9287.08356510415,1.14243466375146,162.11878652118,88.5689505770708,8087.08356510414,9287.08356510415,0.00391547088282273,1200,88.5689505770708,346789147106.114,346789147106.686,0.57183837890625,0.155955921519886,0.587394607616282,0.641165909341059,0.415520654867483,0.335894780197568,0.0916076673266094,0.366643274207543,0.0999936202384208,0.237610657681485,0.064802906640405
2029,0.0344594647220399,0,0,0,165.392076996017,91.1823168327536,91.1823168327536,0,165.385539137526,91.1812355016346,91.1812355016346,0.00404666067087503,91.1823168327537,8158.8524553818,0.003710281704772,6.10464995023145e-05,90.8384383895512,8160.64924128323,0.000220225321055804,0.00358582964898917,0.000425152516231972,90.8165861861539,8158.68610574022,-2.03888527816989e-05,0.00352272129053643,0.00132312318346304,90.7404615066031,8151.84729587699,-0.000858596174292754,0.0034862649670636,0.00296093409994006,90.5944462847422,8138.7297320943,-0.00246636685704807,1.11209737355024,1.09328703900808,1.08362374936082,1.07800200480079,1.16141589893185,165.392076996017,8682395217.45556,8682.39521745556,91.1823168327537,8167.43525326663,9362.43525326663,1.16141589893283,165.392076996017,91.1823168327537,8167.43525326663,9362.43525326663,0.00404666067088183,1195,91.1823168327537,368983895406.371,368983895406.991,0.61962890625,0.168989701704545,0.570286026811925,0.625527716430302,0.39573395701665,0.353365707043131,0.0963724655572175,0.387595054760768,0.105707742207482,0.245208198952212,0.0668749633506032
