Year,Rich...Population..million.,Middle...Population..million.,Poor...Population..million.,Rich...Output...trill.,Middle...Output...trill.,Poor...Output...trill.,Rich...emission.intensity.of.GDP..Mt.C..trill.,Middle...emission.intensity.of.GDP..Mt.C..trill.,Poor...emission.intensity.of.GDP..Mt.C..trill.,Rich.consumption.trillions,Middle.consumption.trillions,Poor.consumption.trillions,Rich.per.capita.consumption.dollars,Middle.per.capita.consumption.dollars,Poor.per.capita.consumption.dollars,Rich.emissions.MtC,Middle.emissions.MtC,Poor.emissions.MtC,Global.emissions.MtC,atmospheric.carbon,temp.increase,Rich.damages,Middle.damages,Poor.damages,Rich.damages.trillions,Middle.damages.trillions,Poor.damages.trillions,extra.ton.emissions,temp.increase_extra.ton.emissions,Rich.damages_extra.ton.emissions,Middle.damages_extra.ton.emissions,Poor.damages_extra.ton.emissions,Rich.damages_extra.ton.emissions_trillions,Middle.damages_extra.ton.emissions_trillions,Poor.damages_extra.ton.emissions_trillions,Rich.marginal.damages,Middle.marginal.damages,Poor.marginal.damages,Rich_conversion.factor,Middle_conversion.factor,Poor_conversion.factor,Rich_utility.loss,Middle_utility.loss,Poor_utility.loss
2020,1112.22773359228,2703.75032353492,3622.82902239599,44.3885349246115,10.9553361313269,4.34308104973239,75.569435103215,408.685517498272,409.926512220071,34.623057241197,8.54516218243501,3.38760321879126,31129.4676400229,3160.48494125114,935.071237932957,3354.41650931222,4477.28721619887,1780.34406700588,9612.04779251697,403.644642987611,0.992984802542092,0.0529351457552948,0.0484695005376404,0.0425101985254953,2.3497135660983,0.530999670507383,0.184625237636441,9612.04779251697,0.992984802542706,0.0529351457553268,0.0484695005376694,0.0425101985255207,2.34971356609972,0.5309996705077,0.184625237636551,1.41797684705125,0.317190718135407,0.110217390769662,2.87934161895338e-05,0.000283603223612569,0.000958561958871919,4.08283975042696e-05,8.99563101631873e-05,0.000105650197997919
2021,1114.82658441001,2716.19647905076,3656.87441085425,45.439426324695,11.3117064711446,4.4967026010458,74.4769306073706,404.011510912907,410.186245496192,35.4427525332621,8.82313104749279,3.50742802881572,31792.1666283362,3248.34050686062,959.132755121439,3384.18900122304,4570.05962241044,1844.48555703594,9798.73418066941,406.262693134675,1.01252075075702,0.0539508752394059,0.0493894608530167,0.0433168718524658,2.4514968205938,0.558679083937412,0.194783090328151,9798.73418066941,1.01252075075769,0.0539508752394402,0.0493894608530478,0.0433168718524931,2.45149682059536,0.558679083937763,0.194783090328273,1.56008539420327,0.35171865420125,0.122568621918617,2.79140844862764e-05,0.000273200800036457,0.000925262139705353,4.35483554995959e-05,9.60898177155274e-05,0.000113408105377156
2022,1117.30126158122,2728.07475542887,3689.52147303587,46.501682053517,11.6743765866113,4.65265973034398,73.4003531706059,399.39007032815,410.441235129164,36.2713120017433,9.10601373755679,3.6290745896683,32463.3232315622,3337.89010709322,983.616606161713,3413.23988575537,4662.63008596398,1909.64340635811,9985.51337807746,408.929721089062,1.03211364447752,0.0549685688408212,0.0503107994684166,0.0441247465876793,2.55613091117273,0.587347219367778,0.205297431560129,9985.51337807746,1.03211364447823,0.0549685688408578,0.0503107994684498,0.0441247465877084,2.55613091117443,0.587347219368165,0.205297431560264,1.70263803056514,0.386801701779405,0.135169653248113,2.70663170558631e-05,0.000263238923715678,0.000893297849759942,4.60841407666464e-05,0.000101821263667803,0.000120746760599336
2023,1119.65742348644,2739.40846595619,3720.81306860269,47.574892467241,12.0432515529135,4.81088312677011,72.3394151029884,394.820278976624,410.691188307687,37.108416124448,9.3937362112725,3.75248883888069,33142.651802279,3429.11118513815,1008.5131313221,3441.53989466778,4754.91993790695,1975.78730814262,10172.2471407174,411.644886074494,1.05176744614338,0.0559884233704315,0.0512336909369368,0.0449339757230013,2.66364322125864,0.617020227937753,0.216172105624485,10172.2471407174,1.05176744614413,0.0559884233704703,0.0512336909369719,0.044933975723032,2.66364322126049,0.617020227938175,0.216172105624633,1.84519066692701,0.422661905474797,0.148048240333765,2.62490453318778e-05,0.000253699259839431,0.000862619377534722,4.84344934621249e-05,0.00010722901258128,0.000127709280921823
2024,1121.90049753092,2750.22022226238,3750.79220536736,48.6586570967188,12.4182373244768,4.97130525645605,71.2938414459247,390.301291545593,410.935879749437,37.9537525354406,9.68622511309188,3.87761810003572,33829.87405654,3521.98163430121,1033.81309540072,3469.06258402509,4846.85406646298,2042.88769906477,10358.8043495528,414.407404317401,1.07148582205267,0.0570106194571579,0.052158294839998,0.0457446991166434,2.77406018303737,0.647714083763127,0.22741086317357,10358.8043495528,1.07148582205346,0.0570106194571987,0.0521582948400349,0.0457446991166758,2.77406018303936,0.647714083763586,0.227410863173731,1.98863148170858,0.458855176077577,0.16109336087311,2.54612084392866e-05,0.000244563874620907,0.00083317717550725,5.06329606647095e-05,0.000112219399751391,0.000134219311405228
2025,1124.03568686833,2760.53192847229,3779.50185428172,49.7525842946284,12.7992407145972,5.13386038152216,70.2633687246374,385.832325192623,411.175142814964,38.8070157498102,9.9834077573858,4.00441109758729,34524.7185682604,3616.47972784388,1059.50764200599,3495.78417529708,4938.36080561312,2110.91577556446,10545.0607564747,417.216516575498,1.09127215457198,0.0580353222496825,0.0530847564497997,0.0465570440745223,2.88740726229325,0.679444576076752,0.239017364054971,10545.0607564747,1.0912721545728,0.0580353222497253,0.0530847564498384,0.0465570440745562,2.88740726229538,0.679444576077247,0.239017364055145,2.13207229649015,0.495825602797595,0.17430501486615,2.47017585536625e-05,0.00023581530283173,0.000804922237834595,5.26659350868524e-05,0.00011692326467544,0.000140301982631853
2026,1126.06797722545,2770.36477905607,3806.98478511289,50.8562909015497,13.1861693651919,5.29848456210626,69.2477438640426,381.41265165992,411.408861570713,39.6679069032088,10.2852121048497,4.13281795844288,35226.9203151905,3712.5840548529,1085.5882520477,3521.68340622576,5029.37182281463,2179.84350174613,10730.8987307865,420.071469446619,1.11112955123318,0.0590626819538208,0.0540132072419153,0.0473711258001944,3.00370893486922,0.712227298649103,0.250995178741923,10730.8987307865,1.11112955123404,0.0590626819538656,0.0540132072419558,0.0473711258002298,3.0037089348715,0.712227298649636,0.250995178742111,2.27462493285202,0.533018074122538,0.187738713464114,2.39696652383454e-05,0.000227436598029143,0.000777806397352102,5.45219981832569e-05,0.000121227817466476,0.000146024372363041
2027,1128.00214378476,2779.73925993832,3833.2834213831,51.9694019223875,13.5789317079317,5.46511564415813,68.2467232330744,377.041590323354,411.63696370738,40.5361334994623,10.5915667321867,4.26279020244334,35936.220265905,3810.27346155543,1112.04670613822,3546.74138958559,5119.82200605078,2249.64361007096,10916.2070057073,422.971504976431,1.13106085214272,0.0600928342803677,0.0549437653260827,0.0481870477730478,3.12298865737186,0.746077637139502,0.263347788630279,10916.2070057073,1.13106085214362,0.0600928342804143,0.0549437653261247,0.0481870477730846,3.12298865737428,0.746077637140072,0.26334778863048,2.41850983684344,0.570765656959793,0.201394456667003,2.32639189098097e-05,0.00021941136840341,0.000751782555153902,5.62640167269029e-05,0.000125232473831219,0.000151404839226952
2028,1129.84275808691,2788.67515246394,3858.43971317421,53.0915502103242,13.9774369186138,5.6336932355703,67.260071795221,372.718502059303,411.859414239213,41.4114091640529,10.9024007965188,4.39428072374483,36652.3650018099,3909.52699775229,1138.87505064315,3570.94147886599,5209.64935093413,2320.2895960054,11100.8804258055,425.915855242373,1.1510686365418,0.0611259008473429,0.0558765358351095,0.0490049020897564,3.245268833988,0.781010754865906,0.276078585412845,11100.8804258055,1.15106863654273,0.0611259008473912,0.055876535835153,0.0490049020897945,3.24526883399057,0.781010754866515,0.27607858541306,2.56195065162501,0.608846306704436,0.215161222172355,2.25835335591522e-05,0.000211723800735118,0.000726804854117422,5.78578985178652e-05,0.000128907254119002,0.000156380220692705
2029,1131.59419492026,2797.19153985319,3882.49502643503,54.222376158443,14.3815948667718,5.80415867295731,66.2875623502487,368.442783838599,412.076209918785,42.2934534035856,11.217643996082,4.5272437649067,37375.1063706773,4010.32386815769,1166.06556713704,3594.26914038143,5298.7948487523,2391.75570771949,11284.8196968532,428.903739900922,1.17115522900272,0.0621619895620018,0.0568116112949225,0.0498247697891897,3.37057078078807,0.817041577372092,0.289190869700027,11284.8196968532,1.17115522900368,0.0621619895620517,0.0568116112949675,0.0498247697892292,3.37057078079078,0.81704157737274,0.289190869700256,2.70494737719673,0.647260023356466,0.229094521131401,2.19275488398414e-05,0.00020435867458101,0.000702828806058878,5.93128657226823e-05,0.000132273200482401,0.000161014228761413
