year,BaseCaseAtmosphericCO2,rfOther,BaseCaseEmissions,BaseCaseTempIncrease,TempIncrease_ConstantCO2,ConstantCO2,CarbonCycleModelCO2,CarbonCycleModelTempIncrease,ReducedEmissions2010,AtmosphericCO2_ReducedEmissions2010,TempIncrease_ReducedEmissions2010,ReducedEmissions2050,AtmosphericCO2_ReducedEmissions2050,TempIncrease_ReducedEmissions2050,ConstantEmissions
2010,380.329,0.83,7626.00259486827,0.8,0.8,380.329,379.329,0.8,7626.00259486827,379.329,0.8,7626.00259486827,379.329,0.8,7626.00259486827
2011,381.342322719293,0.824111111111111,7709.79951949097,0.819068692499178,0.818896144367673,380.329,381.342792719293,0.819068772424136,5866.22069878672,380.476310673562,0.818921256900322,7709.79951949097,381.342792719293,0.819068772424136,7626.00259486827
2012,383.369880008382,0.818222222222222,7794.72261363459,0.838120964185494,0.837434603046274,380.329,383.370322525559,0.838121117752901,4512.52735083396,381.011875456418,0.837575665239794,7794.72261363459,383.370322525559,0.838121117752901,7626.00259486827
2013,385.413018380257,0.812333333333333,7883.78479630792,0.857157871628333,0.85562079551594,380.329,385.41344110233,0.857158093994922,3471.21326278025,381.107783237855,0.855892372073924,7883.78479630792,385.41344110233,0.857158093994922,7626.00259486827
2014,387.473069431277,0.806444444444444,7976.02995979956,0.876180655809215,0.873460059143473,380.329,387.473477160633,0.876180943045205,2670.19356979071,380.887957767269,0.873822756752005,7976.02995979956,387.473477160633,0.876180943045205,7626.00259486827
2015,389.551382836881,0.800555555555555,8071.56840277327,0.895190737846781,0.890957650426481,380.329,389.551778618357,0.895191086616284,2054.017762781,380.44241298212,0.89133418736031,8071.56840277327,389.551778618357,0.895191086616284,7626.00259486827
2016,391.649270506063,0.794666666666667,8170.39237430626,0.914189705485967,0.908118746218669,380.329,391.649656311405,0.914190112851911,1580.03113240609,379.836993254301,0.908405633496559,8170.39237430626,391.649656311405,0.914190112851911,7626.00259486827
2017,393.768072881745,0.788777777777778,8272.62843219817,0.933179310900655,0.924948444936565,380.329,393.768450025151,0.933179774204976,1215.42200102125,379.120122078212,0.925024535879472,8272.62843219817,393.768450025151,0.933179774204976,7626.00259486827
2018,395.90911817665,0.782888888888889,8378.3190770315,0.952161461742243,0.94145176774796,380.329,395.909487567184,0.95216197853161,934.950337539822,378.327541685031,0.941184543480078,8378.3190770315,395.909487567184,0.95216197853161,7626.00259486827
2019,398.07372833473,0.777,8487.51607113175,0.971138213361985,0.957633659742348,380.329,398.074090629778,0.971138781341117,719.200518775653,377.485684427893,0.95688385989015,8487.51607113175,398.074090629778,0.971138781341117,7626.00259486827
2020,400.163258059354,0.771111111111111,8600.35200802656,0.990095564028375,0.973498991083622,380.329,400.263613758027,0.990112384512597,553.237284846841,376.614099196062,0.972124024141293,8600.35200802656,400.263613758027,0.990112384512597,7626.00259486827
