year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy,damages_bau,net.output_bau,consumption.per.capita_bau,damages_0.1reduction,abatement.cost_0.1reduction,net.output_0.1reduction,consumption.per.capita_0.1reduction,percent.change.consumption.per.capita_0.1reduction,damages_0.2reduction,abatement.cost_0.2reduction,net.output_0.2reduction,consumption.per.capita_0.2reduction,percent.change.consumption.per.capita_0.2reduction,damages_0.3reduction,abatement.cost_0.3reduction,net.output_0.3reduction,consumption.per.capita_0.3reduction,percent.change.consumption.per.capita_0.3reduction,damages_0.4reduction,abatement.cost_0.4reduction,net.output_0.4reduction,consumption.per.capita_0.4reduction,percent.change.consumption.per.capita_0.4reduction,temp.increase_0.1reduction,temp.increase_0.2reduction,temp.increase_0.3reduction,temp.increase_0.4reduction,gross.output_0elasticity,temp.increase_0elasticity
2017,0.030092697257786,0,0,0,139.629446867309,68.3919876102145,68.3919876102145,0,139.61466286677,68.3898151215103,68.3898151215103,0.00260954036260842,68.2135159580666,7082.35821760478,0.00258748167436271,7.35035224106762e-05,68.2099975436058,7081.9929135852,-5.15794327767618e-05,0.00257113334889875,0.000511908262710908,68.1811322665115,7078.99593813889,-0.000474740102460634,0.00255899670619754,0.00159311697412026,68.108016302834,7071.40457682411,-0.00154660925699071,0.00254992462078713,0.00356513621167137,67.9737664455253,7057.4659084126,-0.00351469220101085,0.928705492314025,0.925766952117495,0.923579396730919,0.921940818922619,38035839.3403138,5.11875124760846
2018,0.0304196957294602,0,0,0,140.712739454826,69.8472737627827,69.8472737627827,0,140.698955906825,69.8452211207906,69.8452211207906,0.00271559323995687,69.6575969783231,7150.83182895721,0.00268469117885562,7.25839898558545e-05,69.6546856092344,7150.53295687939,-4.17954281368335e-05,0.00266283664886101,0.000505504266042354,69.6259737875256,7147.5854907386,-0.000453980501327268,0.00264727703506869,0.00157318700514329,69.55248585556,7140.04144865648,-0.00150896854503558,0.00263604683332579,0.00352053618841412,69.4172532230199,7126.15888803093,-0.00345035955486576,0.945989989174589,0.942131740409484,0.939375153150343,0.93738054053584,41546423.6130354,5.78732079636575
2019,0.0307403893276295,0,0,0,142.007865737155,71.3308163577138,71.3308163577138,0,141.995008962717,71.3288789017709,71.3288789017709,0.00282342001218355,71.129419503324,7221.20082580085,0.00278173661812079,7.16478215032713e-05,71.127282116253,7220.98383399366,-3.00492691484523e-05,0.00275358289187197,0.000498984410948904,71.0988080767452,7218.09309259518,-0.00043036238440605,0.00273431954841882,0.00155289647151686,71.0250057391099,7210.60053177859,-0.00146794062067743,0.00272085122301433,0.00347512928022042,70.8888520102816,7196.77793311384,-0.00338210960699924,0.962935895775828,0.958050606156754,0.954693589311744,0.952339439313233,44652228.945121,6.45293866871748
2020,0.0310557666961162,0,0,0,143.499858762137,72.8428402636959,72.8428402636959,0,143.487861424835,72.8410131977198,72.8410131977198,0.00293298212447502,72.6291935153065,7293.49309550225,0.00287844257058326,7.06951549398599e-05,72.62801669544,7293.37491812542,-1.62031245227357e-05,0.00284323392346923,0.000492349655641614,72.5998668818565,7290.54808691508,-0.000403785751025634,0.00282003554275402,0.00153224835530322,72.5258075429275,7283.11097724894,-0.00142347680560771,0.00280427633081964,0.00342892216045968,72.3887963816637,7269.35218535938,-0.00330992431565545,0.979530937163847,0.973521772307333,0.969542081389289,0.966829238769639,47408388.5348042,7.11428762698085
2021,0.031366772031312,0,0,0,145.175297743936,74.3835596196385,74.3835596196385,0,145.16409818585,74.3818380757452,74.3818380757452,0.00304424075263346,74.1571181561185,7367.73748436921,0.00297464589654074,6.97262420590492e-05,74.1571083831626,7367.73651339602,-1.31787157997864e-07,0.00293167098488834,0.000485601754408217,74.1293707090985,7364.98069027327,-0.000374171053432395,0.00290435123220971,0.00151124811604613,74.0551116222611,7357.60282188719,-0.00137554608908388,0.00288626948338466,0.00338192704670128,73.9173088493352,7343.91169309496,-0.00323380024394089,0.995765349959641,0.988546236465168,0.983929406717391,0.980861778129257,49850010.3639537,7.77021005982601
2022,0.0316928704507526,0,0,0,147.022151085863,76.0313098057329,76.0313098057329,0,147.011692743929,76.0296872313906,76.0296872313906,0.00315715685322553,75.79126703492,7446.91735874868,0.00307019526741822,6.87574760358924e-05,75.7926511172298,7447.05335260367,1.82617650280205e-05,0.00301879202713354,0.000478854875950927,75.7653791304534,7444.373726841,-0.00034156843498443,0.00298720471248985,0.00149025105978509,75.6908829787696,7437.05406183423,-0.00132448051177406,0.00296678502858499,0.0033349390559694,75.5521814695499,7423.425860102,-0.00315452656649697,1.01163156458898,1.00312711509784,0.997865173339206,0.994448763316473,52053173.2530616,8.42057858437689
2023,0.0320347276365804,0,0,0,149.046824134538,77.7925189419993,77.7925189419993,0,149.037054660442,77.7909892023912,77.7909892023912,0.00327169121238079,77.5380058413878,7531.23849802356,0.00316495069846169,6.77885617713725e-05,77.5410360118631,7531.53281738722,3.90798092161144e-05,0.00310450945743078,0.000472106965080819,77.5142849412028,7528.93449555738,-0.000305926105883166,0.00306854373660362,0.00146925079053745,77.4395124752918,7521.67187295379,-0.00127025921065731,0.00304578320127978,0.00328794387509705,77.2998023584368,7508.10187977169,-0.00307208678332877,1.02712392930644,1.01726913145453,1.01135943768831,1.00760164107313,54038882.5479361,9.06467256348695
2024,0.0323930478183561,0,0,0,151.256495888324,79.6741895210295,79.6741895210295,0,151.247366818924,79.6727468724348,79.6727468724348,0.00338780449266356,79.4042689438208,7620.9226182636,0.003258783079128,6.68192396682423e-05,79.4092248516102,7621.39826762437,6.2413619006191e-05,0.00318874823570021,0.000465356213857656,79.3830517105858,7618.88626814277,-0.00026720519585745,0.0031483240616979,0.00144824168178673,79.3079618708372,7611.67942818626,-0.00121287021799451,0.00312322935535749,0.00324092891285707,79.167130369026,7598.16295115306,-0.0029864713566303,1.04223846905399,1.03097821439967,1.02442244894345,1.02033154013087,55820393.8217914,9.70182819545295
2025,0.03276857845782,0,0,0,153.659167994118,81.6839557153619,81.6839557153619,0,153.650634448967,81.6825947800867,81.6825947800867,0.00350545727771807,81.3976160983267,7716.20894576368,0.00335157369957634,6.58492858576285e-05,81.4048070875591,7716.89062635955,8.8343978326104e-05,0.00327144425829085,0.000458601063168048,81.3792708585076,7714.46988127519,-0.000225378097031371,0.0032265082006706,0.00142721888139401,81.3038208784792,7707.3174873998,-0.00115230917492992,0.00319909341030731,0.00319388331095316,81.1617520879731,7693.84986359504,-0.00289767712691528,1.05697267381523,1.04426118353134,1.0370644789775,1.03264924834255,57404211.2955557,10.3314051279144
2026,0.0331621134747346,0,0,0,156.263721452086,83.8301428401947,83.8301428401947,0,156.255741855689,83.8288585830642,83.8288585830642,0.00362461011455443,83.5262912565516,7817.35552106533,0.00344321377402915,6.47835066520366e-05,83.5360669270722,7818.27044127508,0.000117037047539536,0.00335254297993719,0.000451178545665829,83.5112763213791,7815.95024992731,-0.000179762981770446,0.00330306446299207,0.00140411915926632,83.4355389647658,7808.86187291493,-0.00108651168896143,0.00327334942552485,0.00314218989661211,83.2923272624231,7795.45846693164,-0.00280108203786876,1.07132531225412,1.05712550184249,1.04929571030479,1.04456520867534,58790953.2083206,10.9514019175614
