year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy
2030,0.0349340221509792,0,0,0,168.912978999621,93.9737686285037,93.9737686285037,0,168.906857034133,93.9727468394089,93.9727468394089
2031,0.0354313863957597,0,0,0,172.69591019793,96.9562465869679,96.9562465869679,0,172.690175635389,96.955280713275,96.955280713275
2032,0.0358804004006468,0,0,0,176.75669342727,99.8446295126868,99.8446295126868,0,176.751319828771,99.843718886928,99.843718886928
2033,0.0362817245912897,0,0,0,181.046842577334,102.621214150064,102.621214150064,0,181.041806001018,102.620357690042,102.620357690042
2034,0.0366360307402925,0,0,0,185.518825432615,105.268312774333,105.268312774333,0,185.514104092725,105.267509063049,105.267509063049
2035,0.0369439778230478,0,0,0,190.125971699706,107.76844632191,107.76844632191,0,190.121545677324,107.767693679695,107.767693679695
2036,0.0372062032246876,0,0,0,194.822432720556,110.104552672197,110.104552672197,0,194.818283719124,110.103849220323,110.103849220323
2037,0.0374233229149263,0,0,0,199.563191036384,112.260198716615,112.260198716615,0,199.559302175683,112.259542432382,112.259542432382
2038,0.0375959380434709,0,0,0,204.304115650401,114.219792637347,114.219792637347,0,204.300471293239,114.219181401028,114.219181401028
2039,0.0377246460321568,0,0,0,209.002058465577,115.968792171431,115.968792171431,0,208.998644072141,115.968223805718,115.968223805718
2040,0.0378100542927983,0,0,0,213.614986896734,117.493904813658,117.493904813658,0,213.611788902185,117.493377116363,117.493377116363
2041,0.0378527951358037,0,0,0,218.102147266066,118.783275892822,118.783275892822,0,218.099152977566,118.782786663655,118.782786663655
2042,0.0379404350616149,0,0,0,222.42425323588,120.203031968689,120.203031968689,0,222.421450745814,120.202577608226,120.202577608226
2043,0.0380704232034726,0,0,0,226.626494945403,121.757782148177,121.757782148177,0,226.623872745042,121.757359503958,121.757359503958
2044,0.0382407178693423,0,0,0,230.750557523462,123.452597027754,123.452597027754,0,230.748104561409,123.452203322535,123.452203322535
2045,0.0384497063020661,0,0,0,234.835073117222,125.293054597084,125.293054597084,0,234.832778836225,125.292687371116,125.292687371116
2046,0.0386961382339607,0,0,0,238.916037816858,127.285272238709,127.285272238709,0,238.913892174248,127.284929302884,127.284929302884
2047,0.0389790740898202,0,0,0,243.027193927688,129.43594211776,129.43594211776,0,243.025187403458,129.435621515238,129.435621515238
2048,0.039297844403702,0,0,0,247.200381800827,131.752370442346,131.752370442346,0,247.198505396464,131.752070416863,131.752070416863
2049,0.0396520178274084,0,0,0,251.46586511806,134.242520674127,134.242520674127,0,251.464110348528,134.242239643625,134.242239643625
2050,0.0400413758902825,0,0,0,255.852633154562,136.915061188141,136.915061188141,0,255.850992035273,136.914797722666,136.914797722666
2051,0.0404658931303188,0,0,0,260.388683300497,139.779417882024,139.779417882024,0,260.387148330732,139.779170685079,139.779170685079
2052,0.0408600846474526,0,0,0,265.101286904492,142.563493577301,142.563493577301,0,265.099851048376,142.5632619288,142.5632619288
2053,0.0412246175997652,0,0,0,269.955126801049,145.259100295514,145.259100295514,0,269.953783567875,145.258883462608,145.258883462608
2054,0.0415600916711358,0,0,0,274.916616185958,147.858146980379,147.858146980379,0,274.915359572861,147.857944227141,147.857944227141
2055,0.0418670385837643,0,0,0,279.953746903045,150.352674000014,150.352674000014,0,279.952571345546,150.352484595362,150.352484595362
2056,0.0421459263420208,0,0,0,285.035960492744,152.734895683082,152.734895683082,0,285.034860821971,152.734718907147,152.734718907147
2057,0.0423971651529757,0,0,0,290.134041493747,154.997242980069,154.997242980069,0,290.133012899346,154.997078129202,154.997078129202
2058,0.0426211143979155,0,0,0,295.220030799988,157.132405833528,157.132405833528,0,295.219068797836,157.132252224149,157.132252224149
2059,0.042818090166559,0,0,0,300.267157003365,159.133374856826,159.133374856826,0,300.266257407365,159.133231828299,159.133231828299
2060,0.0429883730034784,0,0,0,305.24978377153,160.993482016787,160.993482016787,0,305.248942668854,160.99334893347,160.99334893347
2061,0.0431322156291821,0,0,0,310.14337143807,162.706440102487,162.706440102487,0,310.142585167332,162.706316355113,162.706316355113
2062,0.0433566921167568,0,0,0,314.924451116811,164.776892682353,164.776892682353,0,314.923716248724,164.776777331469,164.776777331469
2063,0.043659225704251,0,0,0,319.682922395247,167.218614028736,167.218614028736,0,319.682235636775,167.218506260496,167.218506260496
2064,0.0440380801025297,0,0,0,324.502725242044,170.048038397799,170.048038397799,0,324.502083450406,170.047937502975,170.047937502975
